46.6,1.30606,45.1332,0
46.8,1.30158,45.3377,0
47,1.29715,45.5421,0
47.2,1.29274,45.7466,0
47.4,1.28838,45.9509,0
47.6,1.28405,46.1553,0
47.8,1.27975,46.3595,0
48,1.27548,46.5638,0
48.2,1.27125,46.768,0
48.4,1.26706,46.9722,0
48.6,1.26289,47.1764,0
48.8,1.25876,47.3805,0
49,1.25466,47.5846,0
49.2,1.25059,47.7887,0
49.4,1.24655,47.9927,0
49.6,1.24255,48.1968,0
49.8,1.23857,48.4007,0
50,1.23462,48.6047,0
50.2,1.23071,48.8086,0
50.4,1.22682,49.0125,0
50.6,1.22296,49.2163,0
50.8,1.21913,49.4202,0
51,1.21533,49.624,0
51.2,1.21156,49.8277,0
51.4,1.20781,50.0315,0
51.6,1.20409,50.2352,0
51.8,1.2004,50.4389,0
52,1.19674,50.6426,0
52.2,1.1931,50.8462,0
52.4,1.18949,51.0498,0
52.6,1.1859,51.2534,0
52.8,1.18234,51.457,0
53,1.17881,51.6605,0
53.2,1.1753,51.864,0
53.4,1.17182,52.0675,0
53.6,1.16836,52.2709,0
53.8,1.16492,52.4744,0
54,1.16151,52.6778,0
54.2,1.15812,52.8812,0
54.4,1.15476,53.0845,0
54.6,1.15141,53.2879,0
54.8,1.1481,53.4912,0
55,1.1448,53.6945,0
55.2,1.14153,53.8978,0
55.4,1.13828,54.101,0
55.6,1.13505,54.3042,0
55.8,1.13184,54.5075,0
56,1.12866,54.7106,0
56.2,1.12549,54.9138,0
56.4,1.12235,55.1169,0
56.6,1.11923,55.3201,0
56.8,1.11613,55.5232,0
57,1.11304,55.7263,0
57.2,1.10998,55.9293,0
57.4,1.10694,56.1324,0
57.6,1.10392,56.3354,0
57.8,1.10092,56.5384,0
58,1.09794,56.7414,0
58.2,1.09498,56.9443,0
58.4,1.09204,57.1473,0
58.6,1.08911,57.3502,0
58.8,1.08621,57.5531,0
59,1.08332,57.756,0
59.2,1.08045,57.9588,0
59.4,1.0776,58.1617,0
59.6,1.07477,58.3645,0
59.8,1.07196,58.5673,0
60,1.06916,58.7701,0
