Delta Detector Width, Delta E Detector deposit,E Detector deposit
45.1,3.24466,41.3742
45.2,3.23861,41.4802
45.3,3.23258,41.5862
45.4,3.22658,41.6922
45.5,3.22061,41.7982
45.6,3.21466,41.9042
45.7,3.20873,42.0101
45.8,3.20284,42.116
45.9,3.19696,42.2218
46,3.19112,42.3277
46.1,3.18529,42.4335
46.2,3.17949,42.5393
46.3,3.17372,42.6451
46.4,3.16797,42.7508
46.5,3.16224,42.8566
46.6,3.15654,42.9623
46.7,3.15086,43.068
46.8,3.1452,43.1736
46.9,3.13957,43.2792
47,3.13396,43.3849
47.1,3.12837,43.4904
47.2,3.12281,43.596
47.3,3.11727,43.7015
47.4,3.11175,43.8071
47.5,3.10626,43.9126
47.6,3.10078,44.018
47.7,3.09533,44.1235
47.8,3.0899,44.2289
47.9,3.08449,44.3343
48,3.07911,44.4397
48.1,3.07375,44.5451
48.2,3.0684,44.6504
48.3,3.06308,44.7557
48.4,3.05778,44.861
48.5,3.0525,44.9663
48.6,3.04725,45.0716
48.7,3.04201,45.1768
48.8,3.03679,45.282
48.9,3.0316,45.3872
49,3.02642,45.4924
49.1,3.02127,45.5975
49.2,3.01613,45.7027
49.3,3.01102,45.8078
49.4,3.00592,45.9129
49.5,3.00085,46.018
49.6,2.99579,46.123
49.7,2.99075,46.2281
49.8,2.98574,46.3331
49.9,2.98074,46.4381
50,2.97576,46.543
50.1,2.9708,46.648
50.2,2.96586,46.7529
50.3,2.96094,46.8579
50.4,2.95604,46.9628
50.5,2.95116,47.0677
50.6,2.94629,47.1725
50.7,2.94144,47.2774
50.8,2.93662,47.3822
50.9,2.9318,47.487
51,2.92701,47.5918
51.1,2.92224,47.6966
51.2,2.91748,47.8013
51.3,2.91274,47.9061
51.4,2.90802,48.0108
51.5,2.90332,48.1155
51.6,2.89863,48.2202
51.7,2.89396,48.3248
51.8,2.88931,48.4295
51.9,2.88468,48.5341
52,2.88006,48.6387
52.1,2.87546,48.7433
52.2,2.87088,48.8479
52.3,2.86631,48.9525
52.4,2.86176,49.057
52.5,2.85723,49.1616
52.6,2.85271,49.2661
52.7,2.84821,49.3706
52.8,2.84372,49.4751
52.9,2.83926,49.5796
53,2.8348,49.684
53.1,2.83037,49.7884
53.2,2.82595,49.8929
53.3,2.82154,49.9973
53.4,2.81715,50.1017
53.5,2.81278,50.206
53.6,2.80842,50.3104
53.7,2.80408,50.4147
53.8,2.79975,50.5191
53.9,2.79544,50.6234
54,2.79115,50.7277
54.1,2.78687,50.8319
54.2,2.7826,50.9362
54.3,2.77835,51.0405
54.4,2.77411,51.1447
54.5,2.76989,51.2489
54.6,2.76568,51.3531
54.7,2.76149,51.4573
54.8,2.75732,51.5615
54.9,2.75315,51.6657
55,2.749,51.7698
55.1,2.74487,51.8739
55.2,2.74075,51.9781
55.3,2.73664,52.0822
55.4,2.73255,52.1863
55.5,2.72847,52.2903
55.6,2.72441,52.3944
55.7,2.72036,52.4984
55.8,2.71632,52.6025
55.9,2.7123,52.7065
56,2.70829,52.8105
56.1,2.7043,52.9145
56.2,2.70032,53.0185
56.3,2.69635,53.1225
56.4,2.69239,53.2264
56.5,2.68845,53.3304
56.6,2.68452,53.4343
56.7,2.68061,53.5382
56.8,2.6767,53.6421
56.9,2.67281,53.746
57,2.66894,53.8499
57.1,2.66508,53.9537
57.2,2.66122,54.0576
57.3,2.65739,54.1614
57.4,2.65356,54.2652
57.5,2.64975,54.3691
57.6,2.64595,54.4729
57.7,2.64216,54.5766
57.8,2.63839,54.6804
57.9,2.63462,54.7842
58,2.63087,54.8879
58.1,2.62713,54.9917
58.2,2.62341,55.0954
58.3,2.61969,55.1991
58.4,2.61599,55.3028
58.5,2.6123,55.4065
58.6,2.60862,55.5102
58.7,2.60496,55.6139
58.8,2.6013,55.7175
58.9,2.59766,55.8212
59,2.59403,55.9248
59.1,2.59041,56.0284
59.2,2.5868,56.132
59.3,2.5832,56.2356
59.4,2.57962,56.3392
59.5,2.57604,56.4428
59.6,2.57248,56.5463
59.7,2.56893,56.6499
59.8,2.56539,56.7534
59.9,2.56186,56.8569
