Delta Detector Width, Delta E Detector deposit,E Detector deposit
0.0532,1.06575,58.8735
0.05325,1.06676,58.8725
0.0533,1.06777,58.8715
0.05335,1.06878,58.8705
0.0534,1.06979,58.8695
0.05345,1.07079,58.8685
0.0535,1.0718,58.8675
0.05355,1.07281,58.8665
0.0536,1.07382,58.8655
0.05365,1.07483,58.8645
